lines,latitude,longitude,time,brigade,vehicle_number,scheduled_time,time_difference,stop_id,stop_pole,stop_name
133,52.3170396,20.9524348,16:34:43,2,9252,16:35:00,-0.2833333333333333,1277,07,Tarchomin
234,52.321758,21.056952,16:34:45,2,9344,16:37:00,-2.25,1357,01,os.Derby VI
234,52.310493,21.014015,16:34:44,1,9346,16:36:00,-1.2666666666666666,1091,71,Żerań Wschodni
198,52.250473,21.223692,16:34:44,2,9353,16:19:00,15.733333333333333,2282,05,Armii Krajowej
198,52.217751,21.243042,16:34:45,1,9358,16:32:00,2.75,2349,02,Rumiankowa
152,52.336449,21.002089,16:34:31,1,9415,16:30:00,4.516666666666667,1110,02,Białołęka Dworska
152,52.316921,20.952309,16:34:37,2,9416,16:30:00,4.616666666666666,1277,07,Tarchomin
152,52.326107,21.032248,16:34:43,4,9427,16:15:00,19.716666666666665,1174,04,Białołęka-Kanał
159,52.206391,21.062727333,16:34:42,1,9511,16:16:00,18.7,3427,02,"Batalionu Ak ""Bałtyk"""
159,52.223043,21.015003,16:34:45,3,9519,16:27:00,7.75,7011,03,pl.Konstytucji
220,52.2100285,20.894281667,16:34:45,4,9533,16:32:00,2.75,4224,06,Nowe Włochy
194,52.208265167,20.900608,16:34:39,2,9555,16:35:00,-0.35,4223,02,Szuberta
226,52.34021,21.048721,16:34:45,2,9687,16:17:00,17.75,1225,01,Zdziarska-Kanał
167,52.20873,21.07796,16:34:43,4,9816,16:30:00,4.716666666666667,3072,02,Siekierkowska
186,52.307667,20.984241,16:34:46,4,9933,16:28:00,6.766666666666667,1017,01,Płochocińska
114,52.283714,20.927322,16:34:41,1,9946,16:28:00,6.683333333333334,6050,01,Tołstoja
219,52.1954421,21.17036,16:35:51,1,1001,16:34:00,1.85,2372,02,Juhasów
L49,52.3681771,20.9416033,16:35:52,1,10073,16:17:00,18.866666666666667,1479,01,os.Bukowy Dworek
107,52.228025,21.0177583,16:35:48,4,1046,16:38:00,-2.2,7034,01,Wspólna
